id,room,area,toilet,price
2204,2,69.0,1,36.77258394462372
2205,3,124.0,2,34.29854617428066
2206,2,70.4,2,51.56602815737075
2207,3,110.0,2,52.39978693468593
2208,2,98.0,2,34.08499732299221
2209,2,73.0,2,25.63417877090115
2210,2,82.0,2,30.59431694561232
2211,2,66.0,2,28.23858842736718
2212,2,87.0,2,36.33813620160622
2213,2,77.0,2,49.81043653192423
2214,3,117.0,2,36.82121027575067
2215,2,86.0,2,49.58651462753323
2216,2,64.0,2,35.68759894869541
2217,2,77.0,2,35.68759894869541
2218,2,77.0,2,25.503378410255138
2219,2,82.0,2,35.68759894869541
2220,2,78.0,2,45.26877189526692
2221,2,73.0,2,32.50638844498329
2222,1,31.0,1,97.08755405903501
2223,3,106.0,2,23.800333229646494
2224,3,69.0,2,43.66962067983697
2225,3,181.0,3,32.50638844498329
2226,1,38.0,1,40.876166428694454
2227,2,62.0,2,27.775169011276965
2228,3,105.9,2,49.303398639224405
2229,3,102.0,2,35.68759894869541
2230,2,83.0,2,44.76530581771804
2231,2,71.0,2,44.76530581771804
2232,2,71.0,2,45.125021372055
2233,3,90.0,2,25.63417877090115
2234,2,81.0,2,44.76530581771804
2235,2,71.0,2,45.26877189526692
2236,2,73.0,2,36.31943495641441
2237,2,62.87,1,32.50638844498329
2238,2,60.0,1,53.00591727410706
2239,4,143.0,3,25.49807913934877
2240,2,61.5,2,47.55751262201399
2241,4,232.0,3,26.948121831116197
2242,2,85.0,2,40.64420752713944
2243,2,60.0,1,38.73234174160885
2244,3,113.0,2,40.876166428694454
2245,2,70.0,2,40.876166428694454
2246,2,70.0,2,40.876166428694454
2247,1,38.0,1,40.876166428694454
2248,2,70.0,2,40.876166428694454
2249,2,70.0,2,40.876166428694454
2250,2,65.0,2,40.876166428694454
2251,2,54.0,2,40.876166428694454
2252,2,54.0,2,55.428396026834946
2253,3,70.0,2,40.876166428694454
2254,2,70.0,2,42.73918740463014
2255,3,94.0,2,25.63355697230766
2256,2,61.0,2,32.077702027041035
2257,2,73.0,2,32.077702027041035
2258,2,73.0,2,38.06474635461551
2259,3,91.9,2,34.82752595434983
2260,2,67.0,2,37.03639573635169
2261,2,69.7,2,40.876166428694454
2262,2,64.0,2,49.303398639224405
2263,3,150.0,2,61.01997683820814
2264,2,66.0,2,34.82752595434983
2265,3,98.0,2,38.25743873984177
2266,2,81.4,2,46.485878055068866
2267,2,80.0,2,43.81307608852369
2268,2,79.8,2,46.485878055068866
2269,2,80.0,2,43.81307608852369
2270,2,79.8,2,49.486720604953106
2271,3,105.0,2,36.33813620160622
2272,3,83.0,2,21.906686106056558
2273,2,56.0,1,55.090753629297055
2274,2,80.36,2,44.93038833918533
2275,3,103.0,2,54.864641051049304
2276,2,70.0,2,36.00431296025395
2277,2,68.0,2,53.00591727410706
2278,2,74.0,2,49.81043653192423
2279,2,120.0,2,25.550698202585544
2280,2,80.0,2,99.81877232884342
2281,3,115.0,2,42.09616639884667
2282,1,52.0,1,21.906686106056558
2283,1,45.0,1,28.94794548235458
2284,2,63.3,2,32.50638844498329
2285,3,80.0,2,42.628872251691135
2286,3,94.0,2,21.906686106056558
2287,1,49.0,1,26.11222074779117
2288,2,56.0,2,21.906686106056558
2289,1,49.0,1,33.914194077672306
2290,2,73.0,1,58.55448497268656
2291,2,84.0,2,35.26358097781199
2292,2,75.0,2,30.421068246341417
2293,1,30.0,1,46.82941722143735
2294,2,68.0,2,49.303398639224405
2295,2,115.0,2,40.876166428694454
2296,1,27.28,1,61.816694591492634
2297,4,185.0,4,51.56602815737075
2298,3,92.0,2,44.87349934670357
2299,2,81.0,2,51.56602815737075
2300,3,110.0,2,61.01997683820814
2301,3,80.0,2,32.50638844498329
2302,2,65.0,1,32.50638844498329
2303,2,43.0,1,32.50638844498329
2304,3,75.0,2,32.50638844498329
2305,2,55.0,1,32.50638844498329
2306,2,43.5,1,32.50638844498329
2307,2,65.0,1,32.50638844498329
2308,3,75.0,2,32.50638844498329
2309,2,55.0,1,32.50638844498329
2310,2,54.0,2,32.50638844498329
2311,3,80.0,2,32.50638844498329
2312,2,65.0,1,61.816694591492634
2313,4,185.0,4,51.56602815737075
2314,3,92.0,2,44.87349934670357
2315,2,81.0,2,51.56602815737075
2316,3,110.0,2,61.01997683820814
2317,3,80.0,2,25.550698202585544
2318,1,52.3,1,31.25752408194878
2319,2,63.4,1,38.484011825664645
2320,2,90.0,2,54.864641051049304
2321,2,72.0,2,28.26793208272542
2322,2,48.0,2,24.880720275126706
2323,2,86.0,2,42.975168122963865
2324,2,58.0,1,49.04838671522582
2325,2,128.0,2,51.56602815737075
2326,2,80.0,2,45.52949387282343
2327,3,104.0,2,45.52949387282343
2328,2,71.0,2,43.46523534298465
2329,3,117.7,2,60.775428868263354
2330,4,160.0,4,36.80551683988203
2331,3,104.0,3,48.06789267514997
2332,3,97.0,2,36.19841536781469
2333,1,36.0,1,47.55751262201399
2334,4,232.0,2,51.56602815737075
2335,3,88.0,2,40.376380725536144
2336,2,71.0,2,43.46523534298465
2337,3,118.0,2,47.55751262201399
2338,4,232.0,3,43.46523534298465
2339,3,118.0,2,61.816694591492634
2340,2,74.0,2,61.816694591492634
2341,4,170.0,3,32.50638844498329
2342,2,65.0,1,32.50638844498329
2343,2,43.0,1,32.50638844498329
2344,3,75.0,2,32.50638844498329
2345,2,55.0,1,32.50638844498329
2346,2,43.5,1,32.50638844498329
2347,2,65.0,1,32.50638844498329
2348,3,75.0,2,32.50638844498329
2349,2,55.0,1,32.50638844498329
2350,2,54.0,2,32.50638844498329
2351,3,80.0,2,32.50638844498329
2352,2,65.0,1,32.50638844498329
2353,2,65.0,2,32.50638844498329
2354,3,75.0,2,32.50638844498329
2355,2,69.0,1,36.77258394462372
2356,3,124.0,2,34.29854617428066
2357,2,70.4,2,51.56602815737075
2358,3,110.0,2,52.39978693468593
2359,2,98.0,2,34.08499732299221
2360,2,73.0,2,25.63417877090115
2361,2,82.0,2,30.59431694561232
2362,2,66.0,2,28.23858842736718
2363,2,87.0,2,36.33813620160622
2364,2,77.0,2,49.81043653192423
2365,3,117.0,2,36.82121027575067
2366,2,86.0,2,49.58651462753323
2367,2,64.0,2,35.68759894869541
2368,2,77.0,2,25.503378410255138
2369,2,82.0,2,35.68759894869541
2370,2,78.0,2,45.26877189526692
2371,2,73.0,2,32.50638844498329
2372,1,31.0,1,97.08755405903501
2373,3,106.0,2,23.800333229646494
2374,3,69.0,2,43.66962067983697
2375,3,181.0,3,32.50638844498329
2376,1,38.0,1,40.876166428694454
2377,2,62.0,2,27.775169011276965
2378,3,105.9,2,49.303398639224405
2379,3,102.0,2,35.68759894869541
2380,2,83.0,2,44.76530581771804
2381,2,71.0,2,45.125021372055
2382,3,90.0,2,25.63417877090115
2383,2,81.0,2,44.76530581771804
2384,2,71.0,2,45.26877189526692
2385,2,73.0,2,36.31943495641441
2386,2,62.87,1,32.50638844498329
2387,2,60.0,1,53.00591727410706
2388,4,143.0,3,25.49807913934877
2389,2,61.5,2,47.55751262201399
2390,4,232.0,3,26.948121831116197
2391,2,85.0,2,40.64420752713944
2392,2,60.0,1,38.73234174160885
2393,3,113.0,2,40.876166428694454
2394,2,70.0,2,40.876166428694454
2395,2,70.0,2,40.876166428694454
2396,1,38.0,1,40.876166428694454
2397,2,70.0,2,40.876166428694454
2398,2,70.0,2,40.876166428694454
2399,2,65.0,2,40.876166428694454
2400,2,54.0,2,55.428396026834946
2401,3,70.0,2,40.876166428694454
2402,2,70.0,2,42.73918740463014
2403,3,94.0,2,25.63355697230766
2404,2,61.0,2,32.077702027041035
2405,2,73.0,2,38.06474635461551
2406,3,91.9,2,34.82752595434983
2407,2,67.0,2,37.03639573635169
2408,2,69.7,2,40.876166428694454
2409,2,64.0,2,49.303398639224405
2410,3,150.0,2,61.01997683820814
2411,2,66.0,2,34.82752595434983
2412,3,98.0,2,38.25743873984177
