id,room,toilet,area,x,y,khoang_cach,quan,polistic,furniture,direct,direct2,price,n_hospital
2749,3,2,110,20.99477196,105.8061295,4.82,Thanh Xuan,so do,day du,Tay - Bac,Dong - Nam,36.36363636,5
2750,3,2,117,21.04431725,105.877861,7.32,Long Bien,so do,day du,Dong - Bac,Dong - Nam,46.15384615,3
2751,2,1,59,21.00657463,105.7450485,6.99,Nam Tu Liem,hdmb,day du,Tay - Bac,Dong - Nam,38.13559322,0
2752,2,2,71.6,21.04431725,105.877861,7.32,Long Bien,so do,nguyen_ban,Tay - Bac,Dong - Nam,44.69273743,3
2753,3,2,145.4,21.00826073,105.7960434,3.57,Cau Giay,hdmb,cao cap,Tay - Bac,Dong - Nam,68.77579092,2
2754,2,2,74,20.95850182,105.8263474,8.72,Hoang Mai,hdmb,cao cap,Tay - Bac,Dong - Nam,31.08108108,1
2755,3,2,107,21.03445816,105.7696533,3.61,Nam Tu Liem,so do,co ban,Dong - Nam,Nam,55.14018692,0
2756,3,2,107,21.03445816,105.7696533,3.61,Nam Tu Liem,so do,day du,Tay - Nam,Dong - Bac,49.53271028,0
2757,3,2,95,21.04423332,105.7673187,3.74,Bac Tu Liem,so do,day du,Tay - Bac,Dong - Nam,37.89473684,0
2758,3,2,95,21.04423332,105.7673187,3.74,Bac Tu Liem,so do,day du,Tay - Bac,Dong - Nam,37.89473684,0
2759,3,3,145,21.03600121,105.7824631,2.33,Cau Giay,so do,day du,Dong - Bac,Tay - Nam,53.10344828,1
2760,2,2,74,20.98304367,105.7573395,7.64,Ha Dong,hdmb,day du,Dong - Nam,Dong - Nam,39.18918919,0
2761,1,1,42,21.00522614,105.7389145,7.58,Nam Tu Liem,so do,cao cap,Dong - Bac,Dong - Bac,57.14285714,0
2762,2,2,86,21.00826073,105.7960434,3.57,Cau Giay,so do,cao cap,Dong - Nam,Tay - Bac,60.46511628,2
2763,3,2,116.6,21.03600121,105.7824631,2.33,Cau Giay,so do,day du,Tay - Bac,Dong - Nam,45.45454545,1
2764,3,2,95,20.97602463,105.7615967,7.96,Ha Dong,so do,day du,Tay - Nam,Dong - Bac,26,1
2765,2,2,54.3,20.9732914,105.8200073,7.13,Hoang Mai,so do,day du,Tay - Nam,Dong - Nam,28.17679558,0
2766,2,2,54.3,20.9732914,105.8200073,7.13,Hoang Mai,so do,day du,Tay - Nam,Dong - Nam,28.54511971,0
2767,4,2,155,21.02020073,105.808876,2.31,Dong Da,so do,day du,Tay - Nam,Dong - Nam,40.64516129,3
2768,2,2,65,20.9732914,105.8200073,7.13,Hoang Mai,so do,day du,Tay - Bac,Dong - Nam,22.30769231,0
2769,2,1,60,20.9182554,105.8523961,13.35,Thanh Tri,so do,co ban,Nam,Bac,16.5,1
2770,2,1,60,20.97993279,105.8646317,8.69,Hoang Mai,hdmb,co ban,Bac,Nam,16.5,0
2771,2,1,48,21.090308,105.7910665,4.93,Bac Tu Liem,so do,day du,Nam,Dong - Bac,17.70833333,1
2772,2,1,62.6,21.02923775,105.7938538,1.75,Cau Giay,so do,day du,Tay - Nam,Dong - Nam,42.33226837,0
2773,3,2,80,21.02724648,105.7860107,2.44,Cau Giay,so do,day du,Nam,Bac,60,0
2774,2,2,82,21.01875877,105.7947769,2.61,Cau Giay,so do,day du,Tay - Nam,Dong - Bac,42.07317073,2
2775,2,2,82,21.01875877,105.7947769,2.61,Cau Giay,so do,co ban,Tay - Nam,Dong - Bac,42.07317073,2
2776,3,2,99.2,21.02216148,105.7717972,3.89,Nam Tu Liem,so do,day du,Tay - Nam,Dong - Bac,41.83467742,0
2777,2,2,97,21.07390404,105.7999802,3.13,Tay Ho,so do,co ban,Tay,Dong - Bac,75.25773196,0
2778,3,3,160,21.06970978,105.8112106,2.76,Tay Ho,so do,cao cap,Tay - Nam,Dong - Nam,103.125,0
2779,2,2,90,21.00266647,105.8154297,4.17,Thanh Xuan,so do,co ban,Dong - Bac,Tay - Nam,48.33333333,4
2780,2,2,61.5,20.96714592,105.8331375,8.09,Hoang Mai,hdmb,day du,Dong - Bac,Tay - Nam,21.95121951,1
2781,2,2,80.36,21.02956772,105.7918777,1.85,Cau Giay,hdmb,day du,Tay - Bac,Dong - Nam,53.50920856,0
2782,2,2,74,20.99895859,105.7880325,4.7,Nam Tu Liem,so do,day du,Tay - Nam,Dong - Bac,48.64864865,3
2783,4,3,158.6,21.01864815,105.7817917,3.34,Nam Tu Liem,hdmb,day du,Nam,Bac,52.96343001,0
