id,room,area,toilet,x,y,khoang_cach,n_hospital,price
5197,3,78.0,2,21.04431725,105.877861,7.32,3,31.820625883374905
4492,2,66.38,2,20.98306274,105.809082,6.0,3,21.12404322576194
7588,2,54.0,1,21.00885201,105.7439194,6.97,0,44.29870798974342
1175,3,110.7,2,21.06583977,105.7981491,2.38,1,51.304357121314126
1194,3,100.0,2,21.08234978,105.8717575,7.78,0,41.715983638124456
941,2,58.0,1,21.07865143,105.8026123,3.58,0,23.829896816472857
10015,3,94.0,2,21.03445816,105.7696533,3.61,0,35.64819694360336
10213,1,30.0,1,21.00893211,105.7440033,6.96,0,43.91926400439152
10790,2,58.0,1,21.05119324,105.7936401,1.38,1,47.61458724092306
7364,2,35.0,1,20.998032,105.8503425,6.4,3,41.04626481906182
10584,4,185.0,3,21.03326988,105.8167038,1.54,2,30.14893515879824
7071,2,71.0,2,20.95658875,105.8448868,9.52,2,35.98654135181759
5035,4,225.0,3,20.98345757,105.7856445,6.24,3,29.982278449371442
7877,1,35.0,1,20.9975127,105.8618274,7.3,0,44.1565744575929
9927,3,135.0,2,21.04423332,105.7673187,3.74,0,25.03018665445852
7304,3,119.0,2,21.01434898,105.7964096,2.98,2,27.21016063116614
10090,2,79.0,2,20.99599457,105.8612671,7.35,0,24.907834303471624
2932,1,145.0,3,21.07213593,105.810997,2.99,0,48.86976192756852
10946,3,80.0,2,21.0118082,105.8083617,3.13,3,26.34653194003203
9920,3,105.0,2,21.04431725,105.877861,7.32,3,45.14371958941456
4060,2,68.0,2,20.96728516,105.7781754,8.02,3,41.46536331581471
1818,2,75.0,2,20.97309303,105.8383713,7.75,1,40.23094660591723
4392,3,135.0,2,21.00048828,105.8071594,4.25,4,58.53615627208205
806,2,69.9,2,21.00485,105.7281,8.55,0,24.506178723363227
2885,3,103.8,2,21.05967522,105.8040771,1.68,2,45.34013058155116
3854,3,114.0,2,20.98483658,105.8598557,8.01,1,33.84141710201718
251,3,98.0,2,20.97602463,105.7615967,7.96,1,29.982278449371442
9620,3,110.0,2,21.06348991,105.7949295,2.28,1,35.32579010044745
9652,5,236.0,4,20.99870872,105.8119812,4.48,4,36.23283047478142
2255,3,94.0,2,20.99804688,105.8035431,4.49,5,87.90042168096838
8245,3,104.0,2,21.03597832,105.9062958,10.18,1,62.5414653176765
10968,2,84.0,2,20.96345901,105.762764,8.99,2,43.57101776777481
1756,2,74.3,2,20.97309303,105.8383713,7.75,1,44.61570270100496
7724,1,50.0,1,20.99843788,105.8667374,7.63,0,42.40956101987727
2560,2,68.0,2,20.95990562,105.7918015,8.4,2,70.35286162510795
6637,3,82.0,2,21.06550217,105.8883133,8.66,2,37.2222069130412
3683,3,170.0,3,21.0201683,105.7807541,3.3,0,39.74037188531855
6924,2,77.0,2,21.08234978,105.8717575,7.78,0,44.65655856781756
2778,3,160.0,3,21.06970978,105.8112106,2.76,0,32.45276176352138
10765,2,60.5,2,21.01677322,105.9501877,14.78,1,41.21176969697183
2187,2,86.0,2,20.97986794,105.7439194,8.76,0,57.36996496814506
6892,3,110.0,2,20.99727631,105.8029861,4.57,5,33.50895407581117
2055,1,49.0,1,20.95757484,105.8069,8.54,1,44.16965431639416
5614,3,91.97,2,21.08827972,105.8004074,4.56,0,38.18545754256977
10505,2,75.1,2,21.01028824,105.9401245,13.93,1,31.43891028574188
4173,3,65.0,2,21.00522614,105.7389145,7.58,0,34.45170428836206
7121,2,49.0,2,21.0186842,105.838221,4.14,2,31.258314134524802
1433,2,80.0,2,20.96246719,105.792366,8.14,2,47.44840196602463
6132,2,66.0,2,21.03597832,105.9062958,10.18,1,45.55108699334161
5883,2,65.0,2,21.00481796,105.8046722,3.81,4,39.52714812721274
7850,2,70.0,2,20.95850182,105.8263474,8.72,1,25.305853275219825
10836,2,72.0,1,20.96359825,105.8280334,8.27,1,87.64549584296654
136,3,86.0,2,20.98373795,105.8515625,7.55,1,25.00804400394525
2132,3,110.0,2,21.01434898,105.7964096,2.98,2,41.17267437913479
4987,3,91.0,2,21.03510475,105.7655411,3.99,0,101.95081492521709
10663,3,94.0,2,21.0124321,105.767395,4.82,0,42.00530760871469
1386,3,161.9,2,21.07865143,105.8026123,3.58,0,44.31148833360828
2765,2,54.3,2,20.9732914,105.8200073,7.13,0,43.45633699318415
3981,3,95.8,2,21.00298119,105.7320557,8.29,0,25.61410179231969
7899,2,48.0,1,21.0255158,105.8275913,2.88,1,41.31070772034303
1313,2,72.0,2,21.02724648,105.7860107,2.44,0,32.50968272502217
2067,3,92.0,2,20.99843788,105.8667374,7.63,0,37.4779611976819
2584,2,70.0,2,20.9908123,105.7839127,5.61,1,44.82980258319674
3423,2,58.0,1,21.07865143,105.8026123,3.58,0,49.99351795302147
1871,1,36.0,1,21.00278,105.945465,14.64,0,50.32579763875496
6194,2,55.0,1,21.00885201,105.7439194,6.97,0,52.68804630532821
4984,3,92.0,3,20.9952507,105.7844086,5.18,1,51.9214642819174
9468,1,36.0,1,21.0260381,105.8398772,3.9,4,48.96895226305838
7539,2,62.0,2,20.97953796,105.8416138,7.33,1,44.44075747599938
9437,1,76.0,2,21.06409264,105.8097382,2.18,1,40.24366139769465
1209,1,49.0,1,21.0024147,105.9641113,16.45,0,42.0469287729372
3207,2,52.0,1,21.00657463,105.7450485,6.99,0,37.18496141313057
3016,3,117.0,2,20.97366714,105.7587128,8.31,1,20.270620159764764
6224,1,35.0,1,21.00580597,105.7943726,3.85,2,42.12910901925117
8986,3,100.0,2,20.9919548,105.7851028,5.46,1,21.44605023292175
9134,2,33.0,2,20.9877606,105.8006384,5.53,3,40.83593969402064
1067,2,72.0,2,21.07016945,105.9068375,10.57,2,72.92165428322365
4900,2,73.0,2,20.97602463,105.7615967,7.96,1,65.04054002100992
1155,3,127.0,2,20.97843933,105.772644,7.2,2,43.78608067061591
121,3,98.4,2,21.07865143,105.8026123,3.58,0,35.03517142231781
7611,3,100.0,2,21.02741051,105.7935104,1.91,0,46.54016350176099
614,1,45.1,1,21.02358246,105.8052292,1.93,3,42.285346308142955
8856,3,80.0,2,21.0024147,105.9641113,16.45,0,35.64819694360336
8831,2,80.0,2,20.99599457,105.8612671,7.35,0,40.806238887730856
4230,2,85.0,2,21.08014297,105.8136902,3.83,0,46.45855396132853
10536,3,126.0,2,21.06357574,105.795311,2.27,1,27.1525752888134
932,3,85.0,2,21.06510162,105.8886566,8.68,2,51.01638144643329
4215,2,64.0,2,21.00885201,105.7439194,6.97,0,21.12404322576194
6457,2,83.0,2,20.99433327,105.8675613,7.94,0,45.14371958941456
225,2,45.0,1,20.97776985,105.836113,7.23,1,42.99706349080424
46,2,63.0,2,21.0024147,105.9641113,16.45,0,49.74178184766102
164,3,137.0,2,20.98651886,105.7863998,5.93,1,37.340675596222944
6551,2,55.0,2,20.98554039,105.7989426,5.77,2,41.21176969697183
6647,3,164.0,2,21.00557899,105.8037491,3.74,3,29.839022866866088
2515,2,63.5,1,20.95438957,105.7445679,10.7,0,26.248547147266226
6889,2,91.0,2,20.97332001,105.7782822,7.45,4,67.33993069374459
7924,2,71.0,2,20.95890427,105.8381805,9.04,2,38.18545754256977
8182,2,68.0,2,20.99835014,105.806366,4.46,4,22.72680006377324
1310,3,95.0,2,20.97447205,105.7608795,8.13,1,42.35768644607347
4289,4,203.0,2,21.02097893,105.7910614,2.58,2,31.43891028574188
8539,3,130.0,2,20.99993896,105.8363724,5.34,3,34.02689172142596
9836,3,135.0,3,21.00048828,105.8071594,4.25,4,48.62735839797807
1863,3,94.0,2,21.03272629,105.753746,5.2,1,31.43891028574188
4459,3,90.0,2,20.97309303,105.8383713,7.75,1,36.728793195333516
1000,2,67.0,2,21.03512001,105.7674332,3.81,0,43.45633699318415
5954,3,99.0,2,21.08234978,105.8717575,7.78,0,44.7360788753969
985,3,126.0,2,20.99069977,105.8142776,5.31,2,44.92876247981764
7406,4,156.0,2,20.9934864,105.8069077,4.95,5,26.528544827524602
7807,3,125.0,2,21.00896263,105.793129,3.59,2,43.26255224371177
4471,3,96.8,2,21.00968742,105.7215958,8.95,0,23.36122194441987
59,1,47.0,1,21.00885201,105.7439194,6.97,0,38.18545754256977
6814,1,31.0,1,21.0024147,105.9641113,16.45,0,29.86242499865122
345,3,101.0,2,20.97309303,105.8383713,7.75,1,39.2640132972562
7169,2,61.0,1,21.07024574,105.7914734,3.04,1,32.33624593713972
1900,1,31.0,1,21.0024147,105.9641113,16.45,0,40.55847533744938
7357,3,115.0,2,21.01743507,105.7803955,3.52,0,46.9046286393943
1615,3,119.6,2,21.00557899,105.8037491,3.74,3,31.139780573825604
3795,2,62.0,2,20.98009872,105.8742447,9.37,0,36.41804839690526
5285,2,71.2,2,20.99629784,105.8056335,4.66,5,33.40997580875698
9163,3,116.0,2,21.04423332,105.7673187,3.74,0,30.594074418134742
2664,4,127.0,3,20.94645882,105.8557816,10.92,3,40.668326796929556
4178,2,66.0,2,21.04615211,105.9156494,11.1,1,65.28790566748566
3586,2,70.0,1,20.93970299,105.7872543,10.47,0,32.898132293732985
7365,2,91.0,2,21.01682663,105.8152237,2.81,4,36.02632533863663
4822,3,100.0,2,20.94645882,105.8557816,10.92,3,23.868636061975412
9434,2,70.0,2,20.96246719,105.792366,8.14,2,34.45170428836206
6062,3,103.0,2,21.00522614,105.8050613,3.77,4,43.21071578321215
6856,3,86.3,2,21.07024574,105.7914734,3.04,1,32.46176959843588
5021,2,75.0,2,20.97309303,105.8383713,7.75,1,36.622589967867206
10723,2,74.0,2,20.96246719,105.792366,8.14,2,32.93097876103902
9462,4,132.0,3,21.06575012,105.7982101,2.37,1,35.98654135181759
4384,3,82.0,2,21.0307312,105.7613297,4.51,1,31.978066257460082
5305,2,54.0,1,20.9525795,105.757576,10.19,0,52.57463888857107
4898,2,74.8,2,20.97602463,105.7615967,7.96,1,40.71916868116781
565,2,81.7,2,21.02216148,105.7717972,3.89,0,40.226484820510095
2184,2,90.0,2,21.04785919,105.8846817,8.01,4,26.027301368934488
1185,2,77.0,2,21.05226898,105.8848114,8.06,5,40.80335310441942
8134,1,43.0,1,20.99927711,105.7381134,7.96,0,37.963861693849275
8975,1,50.0,1,21.0499622,105.7897558,1.65,1,41.46269918867607
5468,1,45.0,1,21.07284927,105.8124313,3.09,0,45.71903289335873
4536,2,78.0,2,21.04423332,105.7673187,3.74,0,43.710345089649856
6331,2,73.0,2,21.0201683,105.7807541,3.3,0,49.715567745530876
1352,2,120.0,2,20.99479103,105.8678436,7.94,0,44.62303991973523
3702,3,100.0,2,21.00346756,105.8024445,3.95,4,28.831269928725185
1593,2,98.0,2,20.98651886,105.7863998,5.93,1,33.67381270758396
2875,2,70.0,2,20.95020294,105.791069,9.37,1,59.13220827230589
4047,2,48.0,1,21.0086145,105.834091,4.52,2,82.52540657513653
10375,3,80.5,2,20.95977592,105.7418823,10.42,0,47.44684308661507
5914,2,69.0,2,21.04118156,105.7353592,6.94,1,29.02189951633547
7748,2,70.0,2,20.99893761,105.8801956,8.74,0,39.42944716163913
10140,3,100.0,2,21.04437256,105.8032303,0.21,2,41.31026025530036
9008,2,70.0,2,21.0024147,105.9641113,16.45,0,27.15559797991034
1874,3,118.0,2,21.00056,105.80292,4.24,4,38.95761337990327
7395,3,160.0,2,20.95828247,105.7671967,9.26,2,35.084695726047784
7677,3,100.0,2,21.04044151,105.7807159,2.41,1,30.878279787131962
2801,2,86.0,2,21.03656769,105.7604828,4.47,1,24.936204853439914
5650,4,230.0,3,20.98345757,105.7856445,6.24,3,38.85170861907179
6688,3,164.0,2,21.00557899,105.8037491,3.74,3,23.78059180968856
4244,2,47.0,1,21.00893211,105.7440033,6.96,0,26.34653194003203
4921,2,71.0,2,20.98464203,105.7747192,6.55,3,42.17466819499179
