id,room,toilet,area,x,y,khoang_cach,quan,polistic,furniture,direct,direct2,price,n_hospital
10051,3,2,120,21.01193619,105.7749939,4.29,Nam Tu Liem,so do,day du,Tay,Dong,32,0
10132,2,2,66,20.99727631,105.8029861,4.57,Thanh Xuan,so do,day du,Tay - Bac,Dong - Nam,48.48484848,5
7968,4,3,127,20.94645882,105.8557816,10.92,Thanh Tri,so do,co ban,Dong - Nam,Tay - Nam,25.90551181,3
5080,2,2,70,20.95020294,105.791069,9.37,Ha Dong,so do,day du,Dong - Nam,Tay - Bac,22.57142857,1
2550,3,2,99,21.00580597,105.7943726,3.85,Cau Giay,so do,co ban,Tay - Nam,Dong - Nam,70.70707071,2
4353,2,2,88,20.94645882,105.8557816,10.92,Thanh Tri,so do,co ban,Dong - Nam,Tay - Bac,27.27272727,3
7679,3,2,104,21.05900574,105.783226,2.68,Bac Tu Liem,so do,day du,Dong,Nam,25.48076923,1
2205,3,2,124,20.98651886,105.7863998,5.93,Gia Lam,so do,day du,Tay - Nam,Dong - Bac,33.87096774,1
10551,2,2,92,21.0194931,105.8223419,2.93,Dong Da,so do,day du,Dong - Bac,Tay - Nam,58.69565217,2
9532,3,2,95,20.99682999,105.7938385,4.74,Nam Tu Liem,chua so,day du,Tay - Bac,Dong - Nam,36.31578947,3
329,2,2,81,20.9952507,105.7844086,5.18,Nam Tu Liem,so do,day du,Tay - Bac,Dong - Nam,29.62962963,1
1264,2,2,71,21.01609802,105.7924881,2.95,Cau Giay,so do,day du,Dong - Nam,Tay - Bac,50.70422535,2
6355,2,2,77,21.0118082,105.8083617,3.13,Cau Giay,so do,co ban,Tay - Nam,Dong - Bac,36.36363636,3
4843,2,2,83.8,20.96040535,105.794693,8.31,Ha Dong,so do,day du,Dong - Nam,Tay - Bac,24.46300716,2
10924,2,2,63,21.06510162,105.8886566,8.68,Tay Ho,hdmb,day du,Tay - Bac,Dong - Nam,26.98412698,2
3612,2,2,73,21.06909752,105.8880386,8.73,Thanh Xuan,hdmb,day du,Tay - Nam,Dong - Bac,37.5,2
1,2,2,75,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Dong - Bac,Dong - Nam,43.33333333,0
8247,2,2,64,20.99851608,105.8031616,4.44,Thanh Tri,so do,day du,Tay - Bac,Dong - Nam,53.125,5
6490,2,2,88,21.07284927,105.8124313,3.09,Tay Ho,hdmb,day du,Nam,Dong - Nam,60,0
9773,3,2,104,21.00938606,105.7738724,4.56,Nam Tu Liem,hdmb,co ban,Tay - Nam,Dong - Bac,61,0
6066,3,2,86,21.03512001,105.7674332,3.81,Thanh Xuan,so do,day du,Tay - Nam,Dong - Nam,45,0
9092,2,2,121,21.00836563,105.8029099,3.46,Cau Giay,so do,cao cap,Tay - Nam,Tay - Nam,30,3
